station_id,station_name,pollutant,season,season_year,seasonal_mean,school_count,exposure_burden
190,Leipziger-Straße,NO2,Summer,2025,20.16304347826087,8,161.30434782608697
190,Leipziger-Straße,NO2,Winter,2025,27.533333333333335,8,220.26666666666668
190,Leipziger-Straße,PM10,Summer,2025,19.42391304347826,8,155.3913043478261
190,Leipziger-Straße,PM10,Winter,2025,22.877777777777776,8,183.0222222222222
190,Leipziger-Straße,PM2.5,Summer,2025,9.402173913043478,8,75.21739130434783
190,Leipziger-Straße,PM2.5,Winter,2025,15.4,8,123.2
221,Karl-Marx-Straße,NO2,Summer,2025,17.119565217391305,15,256.79347826086956
221,Karl-Marx-Straße,NO2,Winter,2025,25.11111111111111,15,376.6666666666667
221,Karl-Marx-Straße,PM10,Summer,2025,19.033333333333335,15,285.5
221,Karl-Marx-Straße,PM10,Winter,2025,21.344444444444445,15,320.1666666666667
221,Karl-Marx-Straße,PM2.5,Summer,2025,9.855555555555556,15,147.83333333333334
221,Karl-Marx-Straße,PM2.5,Winter,2025,15.922222222222222,15,238.83333333333334
282,Karlshorst,NO2,Summer,2025,8.304347826086957,5,41.52173913043478
282,Karlshorst,NO2,Winter,2025,16.433333333333334,5,82.16666666666667
