station_id,station_name,pollutant,year,unit,mean_value
10,Wedding,Stickstoffmonoxid,2025,µg/m³,3.9934210526315788
27,Marienfelde,Ozon,2025,µg/m³,56.10526315789474
27,Marienfelde,Stickoxide,2025,µg/m³,8.930921052631579
27,Marienfelde,Stickstoffdioxid,2025,µg/m³,7.7730263157894735
27,Marienfelde,Stickstoffmonoxid,2025,µg/m³,2.2401315789473686
32,Grunewald,Feinstaub (PM10),2025,µg/m³,11.838815789473685
32,Grunewald,"Feinstaub (PM2,5)",2025,µg/m³,7.884868421052632
32,Grunewald,Ozon,2025,µg/m³,51.333333333333336
32,Grunewald,Stickoxide,2025,µg/m³,7.796052631578948
32,Grunewald,Stickstoffdioxid,2025,µg/m³,7.0
32,Grunewald,Stickstoffmonoxid,2025,µg/m³,2.1710526315789473
42,Neukölln,Feinstaub (PM10),2025,µg/m³,18.424342105263158
42,Neukölln,"Feinstaub (PM2,5)",2025,µg/m³,11.391447368421053
42,Neukölln,Kohlenmonoxid,2025,mg/m³,0.28980263157894737
42,Neukölln,Ozon,2025,µg/m³,53.67763157894737
42,Neukölln,Stickoxide,2025,µg/m³,17.151315789473685
42,Neukölln,Stickstoffdioxid,2025,µg/m³,14.273026315789474
42,Neukölln,Stickstoffmonoxid,2025,µg/m³,2.786184210526316
77,Buch,Feinstaub (PM10),2025,µg/m³,12.953947368421053
77,Buch,"Feinstaub (PM2,5)",2025,µg/m³,8.828947368421053
77,Buch,Ozon,2025,µg/m³,47.108552631578945
77,Buch,Stickoxide,2025,µg/m³,9.648026315789474
77,Buch,Stickstoffdioxid,2025,µg/m³,8.338815789473685
77,Buch,Stickstoffmonoxid,2025,µg/m³,2.2664473684210527
85,Friedrichshagen,Feinstaub (PM10),2025,µg/m³,13.250836120401338
85,Friedrichshagen,"Feinstaub (PM2,5)",2025,µg/m³,8.976588628762542
85,Friedrichshagen,Ozon,2025,µg/m³,58.0728476821192
85,Friedrichshagen,Stickoxide,2025,µg/m³,8.155629139072847
85,Friedrichshagen,Stickstoffdioxid,2025,µg/m³,7.198675496688741
85,Friedrichshagen,Stickstoffmonoxid,2025,µg/m³,2.1258278145695364
117,Schildhornstraße,Feinstaub (PM10),2025,µg/m³,16.355263157894736
117,Schildhornstraße,"Feinstaub (PM2,5)",2025,µg/m³,10.506578947368421
117,Schildhornstraße,Kohlenmonoxid,2025,mg/m³,0.2542763157894737
117,Schildhornstraße,Stickoxide,2025,µg/m³,22.789473684210527
117,Schildhornstraße,Stickstoffdioxid,2025,µg/m³,15.411184210526315
117,Schildhornstraße,Stickstoffmonoxid,2025,µg/m³,5.098684210526316
124,Mariendorfer-Damm,Feinstaub (PM10),2025,µg/m³,22.43092105263158
124,Mariendorfer-Damm,"Feinstaub (PM2,5)",2025,µg/m³,13.210526315789474
124,Mariendorfer-Damm,Stickoxide,2025,µg/m³,53.91447368421053
124,Mariendorfer-Damm,Stickstoffdioxid,2025,µg/m³,26.25986842105263
124,Mariendorfer-Damm,Stickstoffmonoxid,2025,µg/m³,18.14144736842105
144,Silbersteinstraße,Feinstaub (PM10),2025,µg/m³,21.325657894736842
144,Silbersteinstraße,"Feinstaub (PM2,5)",2025,µg/m³,13.032894736842104
144,Silbersteinstraße,Stickoxide,2025,µg/m³,46.79934210526316
