station_id,station_name,lat,lon,active,components
mc143,143 Silbersteinstraße,52.46752,13.44162,False,"['pm10_1h', 'pm10_24h', 'pm10_24hg', 'pm10_1m', 'pm10_1y', 'no_1h', 'no_24h', 'no_1m', 'no_1y', 'no2_1h', 'no2_24h', 'no2_1m', 'no2_1y', 'nox_1h', 'nox_24h', 'nox_1m', 'nox_1y', 'mhtemp_1h', 'pns-d_1h', 'pm10_12mg', 'no_12mg', 'nox_12mg', 'no2_12mg', 'pm2_1y', 'pm2_1h', 'pm2_24h', 'pm2_1m', 'pm2_12mg']"
mc145,145 Frohnau,52.65327,13.29608,True,"['pm10_1h', 'pm10_24h', 'pm10_1m', 'pm10_1y', 'no_1h', 'no_24h', 'no_1m', 'no_1y', 'no2_1h', 'no2_24h', 'no2_1m', 'no2_1y', 'nox_1h', 'nox_24h', 'nox_1m', 'nox_1y', 'o3_1h', 'o3_8hg', 'o3_24h', 'o3_1m', 'o3_1y', 'mhtemp_1h', 'pns-d_1h', 'o3_12mg', 'no_12mg', 'nox_12mg', 'no2_12mg']"
mc171,171 Mitte,52.51361,13.41883,True,"['pm10_1h', 'pm10_24h', 'pm10_24hg', 'pm10_1m', 'pm10_1y', 'no_1h', 'no_24h', 'no_1m', 'no_1y', 'no2_1h', 'no2_24h', 'no2_1m', 'no2_1y', 'nox_1h', 'nox_24h', 'nox_1m', 'nox_1y', 'mhtemp_1h', 'pns-d_1h', 'sq-vol10_1h', 'sq-vol25_1h', 'pm10_12mg', 'no_12mg', 'nox_12mg', 'no2_12mg', 'pm2_1y', 'pm2_1h', 'pm2_24h', 'pm2_1m', 'pm2_12mg']"
mc174,174 Frankfurter Allee,52.51407,13.46993,True,"['pm10_1h', 'pm10_24h', 'pm10_24hg', 'pm10_1m', 'pm10_1y', 'no_1h', 'no_24h', 'no_1m', 'no_1y', 'no2_1h', 'no2_24h', 'no2_1m', 'no2_1y', 'nox_1h', 'nox_24h', 'nox_1m', 'nox_1y', 'chb_1h', 'chb_24h', 'chb_1m', 'chb_1y', 'so2_1h', 'so2_24h', 'so2_1m', 'so2_1y', 'cht_1h', 'cht_24h', 'cht_1m', 'cht_1y', 'co_1h', 'co_8hg', 'co_24h', 'co_1m', 'co_1y', 'o3_1h', 'o3_8hg', 'o3_24h', 'o3_1m', 'o3_1y', 'mhtemp_1h', 'pns-d_1h', 'sq-vol10_1h', 'sq-vol25_1h', 'o3_12mg', 'pm10_12mg', 'co_12mg', 'cht_12mg', 'chb_12mg', 'no_12mg', 'nox_12mg', 'no2_12mg', 'pm2_1y', 'pm2_1h', 'pm2_24h', 'pm2_1m', 'pm2_12mg', 'ebc_1h', 'ebc_24h', 'ebc_1m', 'ebc_1y', 'ebcbb_24h', 'ebcbb_1m', 'ebcbb_1y']"
mc220,220 Karl-Marx-Straße,52.48168,13.43394,False,"['pm10_1h', 'pm10_24h', 'pm10_24hg', 'pm10_1m', 'pm10_1y', 'no_1h', 'no_24h', 'no_1m', 'no_1y', 'no2_1h', 'no2_24h', 'no2_1m', 'no2_1y', 'nox_1h', 'nox_24h', 'nox_1m', 'nox_1y', 'mhtemp_1h', 'pns-d_1h', 'pm10_12mg', 'no_12mg', 'nox_12mg', 'no2_12mg', 'pm2_1y', 'pm2_1h', 'pm2_24h', 'pm2_1m', 'pm2_12mg']"
mc282,282 Karlshorst,52.4853,13.5295,True,"['no_1h', 'no_24h', 'no_1m', 'no_1y', 'no2_1h', 'no2_24h', 'no2_1m', 'no2_1y', 'nox_1h', 'nox_24h', 'nox_1m', 'nox_1y', 'so2_1h', 'so2_24h', 'so2_1m', 'so2_1y', 'co_1h', 'co_24h', 'co_1m', 'co_1y', 'mhtemp_1h', 'pns-d_1h', 'no_12mg', 'nox_12mg', 'no2_12mg', 'co_12mg']"
mw088,088 Messwagen Leipziger Str.,52.51018,13.3884,False,"['pm10_1h', 'pm10_24h', 'pm10_24hg', 'pm10_1m', 'no_1h', 'no_24h', 'no_1m', 'no2_1h', 'no2_24h', 'no2_1m', 'nox_1h', 'nox_24h', 'nox_1m', 'co_1h', 'co_8hg', 'co_24h', 'co_1m', 'o3_1h', 'o3_8hg', 'o3_24h', 'o3_1m', 'co_1y', 'no2_1y', 'nox_1y', 'no_1y', 'o3_1y', 'pm10_1y', 'mhtemp_1h', 'pns-d_1h', 'co_12mg', 'pm2_1h', 'pm2_24h', 'pm2_1m', 'pm2_1y', 'pm2_12mg']"
mc014,014 Sondermessstation,52.516549,13.283871,False,"['mhtemp_1h', 'pns-d_1h', 'nox_1h', 'no2_1h', 'no_1h', 'no_24h', 'no_1m', 'no_1y', 'no2_24h', 'no2_1m', 'no2_1y', 'nox_24h', 'nox_1m', 'nox_1y', 'no_12mg', 'nox_12mg', 'no2_12mg']"
mc190,190 Leipziger Straße,52.509813,13.382377,True,"['mhtemp_1h', 'pns-d_1h', 'nox_1h', 'no2_1h', 'no_1h', 'pm10_1h', 'no_24h', 'no_1m', 'no_1y', 'no2_24h', 'no2_1m', 'no2_1y', 'nox_24h', 'nox_1m', 'nox_1y', 'pm10_24h', 'pm10_24hg', 'pm10_1m', 'pm10_1y', 'pm10_12mg', 'no_12mg', 'nox_12mg', 'no2_12mg', 'pm2_1y', 'pm2_1h', 'pm2_24h', 'pm2_1m', 'pm2_12mg']"
MP501,501 Berliner Allee,52.550383,13.460693,False,[]
